"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0500000US29071","Franklin County, Missouri","69763","171","663","202","16","24","61","49","27","42","75","78","32","30","23","25","63","62","88","65","174","116","1865","306","1196","231","1942","304","1827","306","908","243","19969","842","3515","412","5789","453","10685","760","7084","527","8867","710","3917","431","614","145","363","166",
"0500000US29073","Gasconade County, Missouri","10646","49","105","37","0","17","6","10","7","11","6","13","6","13","7","8","10","12","27","18","12","15","373","90","258","82","217","71","289","68","163","51","3947","260","556","120","834","132","1140","150","937","140","1169","182","486","105","51","28","40","29",
"0500000US29075","Gentry County, Missouri","4590","35","77","43","0","15","0","15","0","15","4","5","3","7","0","15","9","9","10","13","4","6","108","41","78","37","87","48","66","29","46","20","1774","130","223","53","303","49","620","95","286","65","643","107","202","52","22","13","25","14",
"0500000US29077","Greene County, Missouri","185485","5","1043","214","50","67","29","30","14","17","20","30","121","85","79","50","82","55","533","148","261","95","1942","277","2430","356","3651","484","3607","429","2495","327","44342","1358","8354","647","14529","847","33228","1103","13248","711","35508","1336","14165","856","3247","413","2507","306",
"0500000US29079","Grundy County, Missouri","6870","56","40","26","0","17","0","17","6","6","0","17","6","13","0","17","0","17","19","29","4","4","343","94","100","47","151","60","146","65","72","37","2268","206","456","111","645","146","699","115","632","103","763","153","392","79","89","53","39","26",
"0500000US29081","Harrison County, Missouri","5929","26","38","30","0","15","0","15","0","15","6","13","0","15","4","6","5","7","42","30","60","50","229","90","81","56","138","47","176","55","94","33","2559","156","302","73","416","74","526","91","428","91","602","106","174","49","40","23","9","8",
"0500000US29083","Henry County, Missouri","15554","49","131","60","0","20","0","20","0","20","18","27","2","4","19","29","15","27","35","29","36","31","370","133","369","149","425","94","313","100","289","91","5424","269","1138","174","1246","192","2394","222","924","187","1674","221","609","125","86","52","37","32",
"0500000US29085","Hickory County, Missouri","7174","47","39","32","0","15","0","15","0","15","2","3","0","15","0","15","4","6","54","42","39","45","237","81","92","42","320","98","418","146","103","55","2739","240","314","99","564","149","984","174","561","106","468","118","173","61","37","30","26","25",
"0500000US29087","Holt County, Missouri","3345","13","12","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","5","5","4","78","31","32","16","87","25","80","39","25","11","1310","117","157","37","193","35","536","67","155","40","462","68","177","53","20","23","13","9",
"0500000US29089","Howard County, Missouri","6566","53","47","28","0","17","0","17","0","17","5","10","0","17","0","17","13","28","0","17","49","30","138","61","59","35","107","58","267","84","85","37","2226","169","272","69","443","78","775","108","418","94","1049","134","489","101","34","22","90","36",
