created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive
2026-03-13 12:42:09.238 -0700,SNOWPARK_TEMP_TABLE_REND65KLNI,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:31.344 -0700,SNOWPARK_TEMP_TABLE_RT41FWMO5X,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:17.115 -0700,SNOWPARK_TEMP_TABLE_SVSZZLXUQN,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:05.889 -0700,SNOWPARK_TEMP_TABLE_SXPA3ZHO4V,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:46:43.622 -0700,SNOWPARK_TEMP_TABLE_TCK2D30C7Z,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:31.305 -0700,SNOWPARK_TEMP_TABLE_TLDLCLXS39,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:56:59.370 -0700,SNOWPARK_TEMP_TABLE_TTXT6U6BZ4,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:33.867 -0700,SNOWPARK_TEMP_TABLE_V8AXFB7K9G,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:56:50.670 -0700,SNOWPARK_TEMP_TABLE_WBJ5E135YV,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:51:53.857 -0700,SNOWPARK_TEMP_TABLE_X3JLZ8PXTM,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:25.866 -0700,SNOWPARK_TEMP_TABLE_XF4AIQLAKC,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:56:46.429 -0700,SNOWPARK_TEMP_TABLE_YC72FXCAE1,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:38.861 -0700,SNOWPARK_TEMP_TABLE_ZKODAV2FRN,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:12.597 -0700,SNOWPARK_TEMP_TABLE_ZMD5DSYJKG,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:10:02.019 -0700,STG_CENSUS_COMMUTE,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,345,8192,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:55.297 -0700,STG_CENSUS_EDUCATION,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,345,8704,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:51.399 -0700,STG_CENSUS_INCOME,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,345,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:58.440 -0700,STG_CENSUS_RACE,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,345,11776,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:10:06.454 -0700,STG_CENSUS_SEX_AGE,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,345,9728,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:46.744 -0700,STG_ELECTION_RESULTS,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,69749,780288,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:10:10.076 -0700,STG_POLLING_LOCATIONS,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,14354,514048,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
